date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,activeAddresses,medianTxValue(USD)
2018-06-04,276393828.317,7815,2501409792.0,0.997714,2798279936.0,0.0,4116,2283.767346,
2018-06-05,238673352.306,7727,2505292800.0,0.999263,2796069888.0,0.0,4039,2343.3716613,
2018-06-06,282085379.066,8648,2501917952.0,0.997917,2508359936.0,0.0,4341,2531.6787779,
2018-06-07,244320120.581,10076,2505795072.0,0.999463,2554540032.0,0.0,4926,2612.2614619,
2018-06-08,194057003.528,8421,2506991104.0,0.99994,2219579904.0,0.0,4205,2177.4293463,
2018-06-09,199293078.036,8368,2512298240.0,1.0,2006880000.0,0.0,4481,1611.268,
2018-06-10,380814666.424,10911,2530640128.0,1.01,3845029888.0,0.0,5273,2262.4,
2018-06-11,499738185.438,13152,2520418816.0,1.01,2913220096.0,0.0,6636,3401.37574113,
2018-06-12,517747177.044,12930,2517265408.0,1.0,2702340096.0,0.0,5987,2553.63014768,
2018-06-13,670567224.917,15092,2519058176.0,1.0,3056750080.0,0.0,7033,3134.5,
2018-06-14,456676258.805,14278,2512021760.0,1.0,3104209920.0,0.0,7334,2590.66393903,
2018-06-15,472479392.208,12839,2511217920.0,1.0,2376110080.0,0.0,6462,2289.96618,
2018-06-16,230898416.422,9546,2617234944.0,1.0,1797939968.0,0.0,4812,2022.0,
2018-06-17,231780226.89,9724,2619828992.0,1.0,1548390016.0,0.0,4750,2097.76675,
2018-06-18,316673720.651,10973,2615990784.0,1.0,2073910016.0,0.0,5185,2000.0,
2018-06-19,334227385.984,12957,2616600576.0,1.0,2253370112.0,0.0,6953,2641.6859,
2018-06-20,334169670.553,13373,2611605760.0,1.0,2215259904.0,0.0,6903,2000.0,
2018-06-21,312832051.616,14323,2608547072.0,1.0,2017639936.0,0.0,7429,2276.7205,
2018-06-22,442213525.786,14967,2610382848.0,1.0,3747810048.0,0.0,7680,2424.0,
2018-06-23,237459259.298,11563,2610703616.0,1.0,2500859904.0,0.0,5715,1796.0,
2018-06-24,371625571.409,12739,2604208384.0,0.998875,3952620032.0,0.0,6180,2132.598125,
2018-06-25,508999476.406,13827,2619836928.0,1.0,3956019968.0,250000000.0,6981,2256.0,
2018-06-26,303515390.797,11480,2703983616.0,0.998834,2025110016.0,0.0,5804,1991.60507762,
2018-06-27,364153361.907,11184,2713609216.0,1.0,2055360000.0,0.0,5412,2000.0,
2018-06-28,268673087.852,10709,2703953152.0,0.998823,2331049984.0,0.0,5223,1992.651885,
2018-06-29,307027787.793,10878,2696439040.0,0.996047,2482319872.0,0.0,5546,2030.939833,
2018-06-30,269251572.573,11231,2715288832.0,1.0,2540620032.0,0.0,5855,2454.679,
2018-07-01,211461961.214,11991,2699893248.0,0.997323,3653040128.0,0.0,6352,1991.5542987,
2018-07-02,303760185.549,15548,2705521408.0,0.999402,2787729920.0,0.0,8168,2098.7442,
2018-07-03,432166457.689,14256,2700223488.0,0.997445,2786769920.0,0.0,7709,1994.89,
2018-07-04,288936655.712,16058,2704046080.0,0.998857,2638139904.0,0.0,9149,3002.49422201,
2018-07-05,328126196.95,14905,2710307840.0,1.0,3606159872.0,0.0,7934,2051.55897088,
2018-07-06,377551351.897,13423,2726117376.0,1.01,2460250112.0,0.0,6812,2009.9,
2018-07-07,273716156.549,11511,2611572480.0,1.0,2134790016.0,0.0,6285,1676.71,
2018-07-08,191212432.367,11092,2619159040.0,1.0,2142080000.0,0.0,5662,1666.5,
2018-07-09,344758147.088,13980,2619133440.0,1.0,2358560000.0,0.0,7183,1787.75,
2018-07-10,333151839.72,13548,2626198528.0,1.01,2974149888.0,0.0,7022,2523.91135959,
2018-07-11,310416403.684,13935,2609512960.0,1.0,2524790016.0,0.0,7103,2667.0,
2018-07-12,331388401.839,11466,2613084672.0,1.0,2404160000.0,0.0,6089,2051.0,
2018-07-13,240814509.458,11179,2705453824.0,0.999377,2279970048.0,0.0,6408,2173.40476143,
2018-07-14,860232351.933,11149,2713231360.0,1.0,1620770048.0,0.0,6397,2145.9,
2018-07-15,163783982.149,8310,2713583360.0,1.0,1919559936.0,0.0,4458,1800.0,
2018-07-16,288709531.561,11601,2704340992.0,0.998966,2864659968.0,0.0,6085,1999.929932,
2018-07-17,381102058.557,12985,2713393920.0,1.0,3620499968.0,0.0,6818,2028.39973115,
2018-07-18,380531277.322,15572,2705721856.0,0.999476,4082030080.0,0.0,7857,2341.5415574,
2018-07-19,353623742.899,12422,2709333248.0,1.0,3188349952.0,0.0,6369,1994.571,
2018-07-20,400403383.169,11715,2704219392.0,0.998921,3072349952.0,0.0,5768,1997.842,
2018-07-21,159160711.779,8796,2660594688.0,1.0,2164900096.0,0.0,4833,1600.0,
2018-07-22,182721946.054,7657,2660381952.0,1.0,2209939968.0,0.0,4000,1322.0,
2018-07-23,471033675.73,10317,2659345920.0,1.0,2808819968.0,0.0,5062,2481.1199999,
2018-07-24,712129312.08,14013,2601712384.0,0.997918,4417310208.0,0.0,8153,1381.80369248,
2018-07-25,359697811.158,13362,2488015872.0,0.992372,3514560000.0,0.0,6774,1980.4768004,
2018-07-26,365979289.895,11645,2498967040.0,0.99674,2894500096.0,0.0,6382,2486.8663,
2018-07-27,247790803.568,12242,2506019840.0,0.999553,3092310016.0,0.0,7392,1334.84819671,
2018-07-28,164004644.925,8177,2496123904.0,0.995606,2298899968.0,0.0,4715,1966.3716303,
2018-07-29,220882400.037,7312,2498121984.0,0.996403,2404489984.0,0.0,4066,1918.41229048,
2018-07-30,350924070.07,10005,2505427945.0,0.999317,4311410000.0,0.0,5303,2312.33833732,
2018-07-31,518276606.182,11322,2506409448.0,0.999708,3253100000.0,0.0,5864,2315.323728,
2018-08-01,292276964.381,11127,2460207729.0,0.999215,3059190000.0,0.0,6094,2037.12560009,
2018-08-02,320129497.246,9709,2394134850.0,0.998746,2539460000.0,0.0,5518,1894.17787358,
2018-08-03,425716477.182,11727,2420488021.0,1.0,2843800000.0,0.0,6858,1595.0,
2018-08-04,205637160.981,6938,2437593282.0,1.0,2526060000.0,0.0,3830,2091.5,
2018-08-05,126902189.072,8549,2432197417.0,0.997972,2204100000.0,0.0,5803,852.268088,
2018-08-06,221797199.749,9465,2441614795.0,1.0,2336390000.0,0.0,5062,1495.0,
2018-08-07,275872367.524,10400,2435715878.0,0.999416,2942000000.0,0.0,5545,1795.53714633,
2018-08-08,494773486.087,12711,2441134258.0,1.0,3421800000.0,0.0,6552,2248.0623961,
2018-08-09,283227640.446,9348,2408916875.0,1.0,2626630000.0,0.0,5108,1980.0,
2018-08-10,262251185.969,8606,2410359103.0,1.0,2887490000.0,0.0,4441,2154.385,
